origin_country,dest_country,value_norm_usd
Argentina,Brazil,558391.85
Argentina,India,677.17
Argentina,United States,20242.74
Austria,Brazil,19844.58
Austria,Indonesia,1021.64
Austria,Vietnam,2582.25462
Bangladesh,India,44142.26
Belgium,Brazil,66166.1
Belgium,Malaysia,11849.67
Belgium,Nigeria,112355.966
Belgium,Philippines,5620.6
Belgium,Uganda,2298418.52
Belgium,United States,0.0
Belgium,Vietnam,253497.80933999998
Botswana,Brazil,112543.0
Brazil,Brazil,120.0
Brazil,India,6869.0
Brazil,Malaysia,820.0
Brazil,Qatar,1765.0
Brazil,Saudi Arabia,709.0
Brazil,United States,1115016.0
Bulgaria,Nigeria,3157.625
Cambodia,Indonesia,74000.0
Canada,Brazil,124895.54
Canada,Malaysia,3050.95
Canada,United States,0.0
Chile,United States,38407.0
China,Botswana,253.01
China,Brazil,23129858.54
China,Ghana,79781.296
China,India,862155.2
China,Indonesia,26822382.28
China,Kenya,18227048.22
China,Malaysia,52112874.44
China,Namibia,55831.61
China,Nigeria,1630867.7820000001
China,Philippines,10489621.64
China,South Sudan,68366.26
China,Uganda,69966.11
China,United States,0.0
China,Vietnam,119334387.16783656
Colombia,United States,0.0
Costa Rica,United States,150.0
Czech Republic,Brazil,951619.15
Czech Republic,Indonesia,2271.8900000000003
Czech Republic,Uganda,134144.44
Czech Republic,Vietnam,621548.17617
Denmark,Brazil,308948.85
Denmark,Indonesia,4284.91
Denmark,Vietnam,8388.39
Dominican Republic,United States,0.0
Ecuador,United States,2128.74
Egypt,Kenya,222.2
Egypt,Nigeria,199.479
European Union,Vietnam,23731.464659999998
Finland,Brazil,399888.14
Finland,Malaysia,305089.5
Finland,Vietnam,10718.19579
France,Brazil,4275889.26
France,India,8748.32
France,Indonesia,3363.69
France,Malaysia,183422.17
France,Vietnam,294144.30145
Germany,Brazil,1201696.17
Germany,Ghana,51.69
Germany,India,10921.630000000001
Germany,Indonesia,346592.07999999996
Germany,Malaysia,2517651.99
Germany,Nigeria,5972.897
Germany,Philippines,2138.18
Germany,Uganda,2303.53
Germany,Vietnam,858641.9979600001
Ghana,Nigeria,1331.076
Hong Kong,Brazil,66235.0
Hong Kong,Indonesia,7694.48
Hong Kong,Malaysia,7564.4800000000005
Hong Kong,Philippines,565.4
Hungary,Brazil,2558372.43
India,Brazil,3742284.12
India,Canada,676852.27
India,Ghana,2415136.8
India,India,2374618.63
India,Indonesia,2410598.2800000003
India,Kenya,341582.51
India,Malaysia,877503.22
India,Nigeria,2132198.3770000003
India,Oman,319871.82
India,Philippines,573341.67
India,Qatar,985914.9261662762
India,Saudi Arabia,5036612.699591519
India,Senegal,46227.65
India,South Africa,1859080.810478407
India,Thailand,39209.42
India,Uganda,45279.0
India,United Arab Emirates,3603830.56
India,United States,44311233.61797786
India,Vietnam,3104977.1249248274
Indonesia,India,21800.0
Indonesia,Malaysia,143598.47
Indonesia,Qatar,10000.0
Indonesia,United States,154924.14
Indonesia,Vietnam,324.0
Ireland,Vietnam,133340.8
Israel,Brazil,1002821.0
Italy,Brazil,2364116.5100000002
Italy,Ghana,12833.203
Italy,India,86051.08
Italy,Indonesia,38387.36
Italy,Nigeria,851956.076
Italy,Philippines,28722.8
Italy,Uganda,153538.61
Italy,United States,0.0
Italy,Vietnam,968934.66405
Japan,Brazil,1636237.25
Japan,India,136269.63
Japan,Indonesia,437806.77999999997
Japan,Malaysia,3128388.64
Japan,Philippines,349554.14
Japan,Vietnam,1041671.145277
Kazakhstan,United Arab Emirates,263878.0
Kenya,Canada,2375.134
Kenya,India,1998.78
Kenya,Uganda,81337.986
Kenya,United Arab Emirates,80976.50200000001
Kenya,United States,2375.134
Malaysia,Brazil,77122.49
Malaysia,Canada,231895.3
Malaysia,Ethiopia,852571.61
Malaysia,India,1848453.49
Malaysia,Indonesia,10279133.77
Malaysia,Malaysia,15190443.64
Malaysia,Philippines,14241.42
Malaysia,Qatar,15965420.28
